****_Guess_File_Begins_****  <--- Do not remove this line

[Parameters]
NUMBER_PEAKS		468
SHIFT_UNITS		PPM
reference_frequency		2.97235e+08
chi_squared		3398.014
noise_STDEV_real		0.0258486
noise_STDEV_imag		0.0258486

[Variables]

[Peaks]

; Peak#    Shift    Width_L(Hz)  Amplitude     Phase(rad)  Delay_Time(s)   Width_Gauss(Hz)
   205   0.9323946     10.07902  0.002559593     3.695774  -0.0007324349            0  
   206   0.9320286     10.07902  0.006341109    0.3064005  -0.0007324349            0  
   207   0.9314926     10.07902  0.000124548     1.637642  -0.0007324349            0  
   208   0.9123956     10.07902  0.002994838    0.3917605  -0.0007324349            0  
   209   0.9112576     10.07902  0.001114609   -0.7157735  -0.0007324349            0  
   210   0.9019506     10.07902  0.0003248044   -0.3684885  -0.0007324349            0  
   211   0.8913346     10.07902  0.003209644  -0.04962948  -0.0007324349            0  
   212   0.8902596     10.07902  0.001923745     1.717943  -0.0007324349            0  
   213   0.8684056     10.07902  0.0009842774     4.243319  -0.0007324349            0  
   214   0.8641076     10.07902  0.002552217     1.637324  -0.0007324349            0  
   215   0.8574026     10.07902   0.00321095    0.2492905  -0.0007324349            0  
   216   0.8536406     10.07902  0.004554051      1.34899  -0.0007324349            0  
   217   0.8513846     10.07902  0.002745899  -0.02792948  -0.0007324349            0  
   218   0.8462126     10.07902  0.003055096     1.369429  -0.0007324349            0  
   219   0.8419446     10.07902  0.0007025634     1.562489  -0.0007324349            0  
   220   0.8363026     10.07902  0.004935386   -0.9059265  -0.0007324349            0  
   221   0.8311646     10.07902  0.003818185    -1.152264  -0.0007324349            0  
   222   0.8163816     10.07902  0.002607711     4.737448  -0.0007324349            0  
   223   0.8159526     10.07902  0.005459525  -0.02224548  -0.0007324349            0  
   224   0.8111576     10.07902  0.005126535   -0.5990985  -0.0007324349            0  
   225   0.8113056     10.07902  0.0001666246     3.420913  -0.0007324349            0  
   226   0.8111716     10.07902  0.0001512332    0.7450275  -0.0007324349            0  
   227   0.7676476     10.07902  0.0001524642    -1.131387  -0.0007324349            0  
   228    1.116436     10.07902   0.01056596    0.2320375  -0.0007324349            0  
   229    1.547708     10.07902  0.000102787      2.56614  -0.0007324349            0  
   230    1.465537     10.07902    0.0763729     2.154754  -0.0007324349            0  
   231    1.465364     10.07902  0.002699113     3.320256  -0.0007324349            0  
   232    1.455012     10.07902   0.03798876     1.002851  -0.0007324349            0  
   233    1.455277     10.07902  0.0007548147   -0.7545405  -0.0007324349            0  
   234    1.454774     10.07902  0.002740948     2.258425  -0.0007324349            0  
   235    1.448841     10.07902   0.07762458    0.2195265  -0.0007324349            0  
   236    1.448357     10.07902  0.002503596     1.778492  -0.0007324349            0  
   237    1.442217     10.07902  0.002747618     2.122114  -0.0007324349            0  
   238    1.441957     10.07902   0.04152581   -0.4756815  -0.0007324349            0  
   239     1.43177     10.07902   0.07987916      4.72994  -0.0007324349            0  
   240    1.431907     10.07902  0.001395249     2.340425  -0.0007324349            0  
   241    1.431621     10.07902  0.002536414    0.8443475  -0.0007324349            0  
   242    1.349898     10.07902  0.0001190645    0.9756295  -0.0007324349            0  
   243   0.7184676     10.07902   0.01583761     2.129188  -0.0007324349            0  
   244   0.7166986     10.07902   0.01585095     2.122662  -0.0007324349            0  
   245   0.7149286     10.07902   0.01586381     2.116101  -0.0007324349            0  
   246   0.7082666     10.07902  0.007783876    0.9957545  -0.0007324349            0  
   247   0.7064966     10.07902  0.007795371    0.9939035  -0.0007324349            0  
   248   0.7047256     10.07902  0.007806441    0.9920485  -0.0007324349            0  
   249   0.7009796     10.07902   0.02217223    0.2828745  -0.0007324349            0  
   250   0.6983216     10.07902   0.02262466    0.2785215  -0.0007324349            0  
   251   0.6952246     10.07902  0.007670318   -0.4858915  -0.0007324349            0  
   252   0.6943516     10.07902  0.004124054     2.194012  -0.0007324349            0  
   253   0.6934556     10.07902  0.007658584   -0.4837465  -0.0007324349            0  
   254   0.6925146     10.07902   0.01609153     2.032093  -0.0007324349            0  
   255   0.6916856     10.07902  0.007646167   -0.4815905  -0.0007324349            0  
   256   0.6907446     10.07902   0.01611439     2.025559  -0.0007324349            0  
   257   0.6847006     10.07902   0.01548318     4.638717  -0.0007324349            0  
   258   0.6843506     10.07902  0.0001989275     2.933819  -0.0007324349            0  
   259   0.6826596     10.07902   0.01030429      1.07194  -0.0007324349            0  
   260   0.6829316     10.07902   0.01542936     4.641235  -0.0007324349            0  
   261   0.6811626     10.07902   0.01537309     4.643782  -0.0007324349            0  
   262   0.6805426     10.07902  0.007967462    0.9663835  -0.0007324349            0  
   263   0.6772566     10.07902   0.00605309     3.973749  -0.0007324349            0  
   264   0.6750336     10.07902   0.02275437    0.3443125  -0.0007324349            0  
   265   0.6732716     10.07902   0.00824839    0.2836605  -0.0007324349            0  
   266   0.6712906     10.07902  0.0005384202     1.423417  -0.0007324349            0  
   267   0.6695196     10.07902  0.008984916   -0.3921385  -0.0007324349            0  
   268   0.6675016     10.07902  0.007484404   -0.4501285  -0.0007324349            0  
   269   0.6606786     10.07902  0.001943857     3.718781  -0.0007324349            0  
   270   0.6603566     10.07902  0.002907543     2.717215  -0.0007324349            0  
   271   0.6587526     10.07902    0.0145795     4.678954  -0.0007324349            0  
   272   0.6569826     10.07902   0.01450866     4.681979  -0.0007324349            0  
   273   0.5783356     10.07902  0.0001157299     3.724782  -0.0007324349            0  
   274    1.324436     10.07902   0.03269635    0.2455075  -0.0007324349            0  
   275    1.443523     10.07902  0.006138555     1.880122  -0.0007324349            0  
   276    1.440457     10.07902  0.004098529    0.9317025  -0.0007324349            0  
   277    1.422025     10.07902  0.006629714    0.7630545  -0.0007324349            0  
   278    1.420589     10.07902  0.009017513   -0.2761235  -0.0007324349            0  
   279    1.418537     10.07902   0.01347457    0.2673455  -0.0007324349            0  
   280     1.41671     10.07902  0.0006524978    0.1116445  -0.0007324349            0  
   281    1.399107     10.07902   0.00852808     4.190295  -0.0007324349            0  
   282    1.396749     10.07902  0.007738435     4.462572  -0.0007324349            0  
   283    1.265623     10.07902  0.007711223     2.322772  -0.0007324349            0  
   284    1.263265     10.07902  0.008512366     2.594966  -0.0007324349            0  
   285    1.245662     10.07902  0.0006515831    0.3897905  -0.0007324349            0  
   286    1.243835     10.07902   0.01345754    0.2341485  -0.0007324349            0  
   287    1.241783     10.07902  0.009023032    0.7790055  -0.0007324349            0  
   288    1.240348     10.07902  0.006634508   -0.2601875  -0.0007324349            0  
   289    1.221915     10.07902  0.004106025   -0.4296365  -0.0007324349            0  
   290    1.218849     10.07902  0.006152251     4.906402  -0.0007324349            0  
   291     2.70002     10.07902  0.003574771    0.2712109  -0.0007324349            0  
   292    2.676125     10.07902  0.006658179     4.288054  -0.0007324349            0  
   293    2.673088     10.07902  0.004319671     3.657281  -0.0007324349            0  
   294    2.652233     10.07902  0.001594998    0.9236319  -0.0007324349            0  
   295    2.650287     10.07902  0.004007533   -0.5819351  -0.0007324349            0  
   296    2.649152     10.07902   0.00395336    0.5569099  -0.0007324349            0  
   297    2.649026     10.07902  0.003167251     1.429629  -0.0007324349            0  
   298    2.626602     10.07902  0.005788544     4.485936  -0.0007324349            0  
   299    2.625063     10.07902  0.005822458     4.618042  -0.0007324349            0  
   300    2.622958     10.07902  0.002091734     3.321548  -0.0007324349            0  
   301    2.603038     10.07902  0.002620736    0.2775999  -0.0007324349            0  
   302    2.599548     10.07902  0.003581334     4.863466  -0.0007324349            0  
   303    2.598936     10.07902  0.001250802    0.6745599  -0.0007324349            0  
   304    2.583354     10.07902  0.006093697     2.813566  -0.0007324349            0  
   305    2.574696     10.07902  0.005024805     3.612893  -0.0007324349            0  
   306    2.574657     10.07902  0.009268566      2.86364  -0.0007324349            0  
   307    2.558826     10.07902  0.003883109     1.611054  -0.0007324349            0  
   308    2.557705     10.07902  0.001462868   0.05509689  -0.0007324349            0  
   309    2.549905     10.07902  0.003361618     4.862111  -0.0007324349            0  
   310    2.549424     10.07902  0.003330682     2.279919  -0.0007324349            0  
   311    2.533489     10.07902  0.007823686     2.442483  -0.0007324349            0  
   312    2.525679     10.07902  0.002910528     2.097906  -0.0007324349            0  
   313    2.523855     10.07902  0.003693203      2.04144  -0.0007324349            0  
   314    2.509631     10.07902  0.004086303   -0.2913701  -0.0007324349            0  
   315    2.507615     10.07902  0.003909484   -0.2971421  -0.0007324349            0  
   316    2.499782     10.07902  0.004190379     5.262599  -0.0007324349            0  
   317    2.483794     10.07902  0.004366211     3.221118  -0.0007324349            0  
   318    2.399171     10.07902  0.0007477134     4.883615  -0.0007324349            0  
   319    2.375703     10.07902  0.0008308196     2.818164  -0.0007324349            0  
   320    2.375224     10.07902  0.0003641047     1.573475  -0.0007324349            0  
   321    2.351275     10.07902  0.0003616059     5.537161  -0.0007324349            0  
   322    2.346145     10.07902   0.04589363     4.291855  -0.0007324349            0  
   323    2.322191     10.07902   0.03781572     1.468129  -0.0007324349            0  
   324    2.319782     10.07902   0.03704551     1.305011  -0.0007324349            0  
   325    2.297947     10.07902   0.01663319     4.929296  -0.0007324349            0  
   326    2.293393     10.07902   0.01511097     4.536745  -0.0007324349            0  
   327    2.293109     10.07902  0.0004377879     3.430438  -0.0007324349            0  
   328    2.267068     10.07902  0.0004457096      1.64041  -0.0007324349            0  
   329    2.265708     10.07902  0.0007388265    0.1854139  -0.0007324349            0  
   330    2.240134     10.07902  0.0002417582     3.978979  -0.0007324349            0  
   331   0.9437126     10.07902   0.02685932     3.000046  -0.0007324349            0  
   332   0.9275806     10.07902   0.02263789    0.7135719  -0.0007324349            0  
   333   0.9197706     10.07902   0.02258391    0.8786779  -0.0007324349            0  
   334   0.9035836     10.07902    0.0221662     4.919371  -0.0007324349            0  
   335    2.637001     10.09774            0   -0.4932606  -0.0007307832            0  
   336    2.615815     10.09774            0     4.014101  -0.0007307832            0  
   337    2.608816     10.09774            0     3.564887  -0.0007307832            0  
   338    2.588352     10.09774            0   -0.5194936  -0.0007307832            0  
   339     2.58766     10.09774            0     1.159872  -0.0007307832            0  
   340    2.583116     10.09774            0    0.3189524  -0.0007307832            0  
   341    2.581925     10.09774            0     4.950231  -0.0007307832            0  
   342    2.567187     10.09774            0     3.678583  -0.0007307832            0  
   343    2.565498     10.09774            0     3.711213  -0.0007307832            0  
   344    2.563522     10.09774            0     3.947932  -0.0007307832            0  
   345    2.561672     10.09774            0     3.364405  -0.0007307832            0  
   346     2.55954     10.09774            0     3.311524  -0.0007307832            0  
   347    2.556611     10.09774            0     3.103992  -0.0007307832            0  
   348    2.550858     10.09774            0     2.469384  -0.0007307832            0  
   349    2.545059     10.09774            0     1.290549  -0.0007307832            0  
   350    2.542321     10.09774            0    0.5004824  -0.0007307832            0  
   351    2.538973     10.09774            0     1.057377  -0.0007307832            0  
   352    2.536441     10.09774            0     1.563339  -0.0007307832            0  
   353    2.535267     10.09774            0  -0.06775859  -0.0007307832            0  
   354    2.533276     10.09774            0     5.415947  -0.0007307832            0  
   355    2.531661     10.09774            0      4.50018  -0.0007307832            0  
   356    2.529775     10.09774            0   -0.4572096  -0.0007307832            0  
   357    2.513234     10.09774            0     3.981909  -0.0007307832            0  
   358    2.511628     10.09774            0     3.359819  -0.0007307832            0  
   359    2.507649     10.09774            0     2.699637  -0.0007307832            0  
   360    2.502488     10.09774            0     1.611687  -0.0007307832            0  
   361    2.490852     10.09774            0   -0.3816676  -0.0007307832            0  
   362    2.487367     10.09774            0    0.2446554  -0.0007307832            0  
   363    2.482735     10.09774            0     5.491145  -0.0007307832            0  
   364    2.463004     10.09774            0       3.5059  -0.0007307832            0  
   365    2.301407     10.09774            0     4.929981  -0.0007307832            0  
   366    2.278903     10.09774            0     2.653997  -0.0007307832            0  
   367    2.276928     10.09774            0     1.790764  -0.0007307832            0  
   368    2.269496     10.09774            0     2.004858  -0.0007307832            0  
   369    2.249979     10.09774            0     4.629901  -0.0007307832            0  
   370    2.247136     10.09774            0     4.231718  -0.0007307832            0  
   371    2.227863     10.09774            0     1.856826  -0.0007307832            0  
   372    2.225088     10.09774            0     1.236863  -0.0007307832            0  
   373    2.218663     10.09774            0    0.9802504  -0.0007307832            0  
   374    2.199744     10.09774            0     5.124923  -0.0007307832            0  
   375    2.195634     10.09774            0     3.790781  -0.0007307832            0  
   376    2.193228     10.09774            0     4.725777  -0.0007307832            0  
   377    2.172786     10.09774            0    0.6146324  -0.0007307832            0  
   378    2.169986     10.09774            0     1.015008  -0.0007307832            0  
   379    2.164205     10.09774            0    0.2799004  -0.0007307832            0  
   380    2.141661     10.09774            0      4.29808  -0.0007307832            0  
   381   0.9341626     10.09774            0     3.080344  -0.0007307832            0  
   382   0.9135196     10.09774            0    0.8361584  -0.0007307832            0  
   383   0.8927566     10.09774            0     4.914564  -0.0007307832            0  
   384      1.7855     10.07902   0.00302811     2.664198  -0.0007324349            0  
